time,variable,value,nutrient,variable2,lim_nut_H
0.8888888888888888,R_p_np,7.966067339300686e-5,+N+P,R_p,Q[N]
0.8888888888888888,Q_n_np,0.005958286632079035,+N+P,Q_n,Q[N]
0.8888888888888888,Q_p_np,0.0011251560665560736,+N+P,Q_p,Q[N]
0.8888888888888888,H_np,0.011240745519465628,+N+P,H,Q[N]
0.8888888888888888,V_b_np,0,+N+P,PAV_conc,Q[N]
0.8888888888888888,V_c_np,0,+N+P,RPV_conc,Q[N]
0.8888888888888888,VbH_low,0,low,PAV_pop,Q[N]
0.8888888888888888,VbH_n,0,+N,PAV_pop,Q[N]
0.8888888888888888,VbH_p,0,+P,PAV_pop,Q[N]
0.8888888888888888,VbH_np,0,+N+P,PAV_pop,Q[N]
0.8888888888888888,VcH_low,0,low,RPV_pop,Q[N]
0.8888888888888888,VcH_n,0,+N,RPV_pop,Q[N]
0.8888888888888888,VcH_p,0,+P,RPV_pop,Q[N]
0.8888888888888888,VcH_np,0,+N+P,RPV_pop,Q[N]
0.8888888888888888,LimQ_low,0.18472232481390746,low,Qlim,Q[N]
0.8888888888888888,LimQ_n,0.18461683163708006,+N,Qlim,Q[N]
0.8888888888888888,LimQ_p,0.18472232481390746,+P,Qlim,Q[N]
0.8888888888888888,LimQ_np,0.18461683163708006,+N+P,Qlim,Q[N]
1,R_n_low,5.326614202505156e-4,low,R_n,Q[N]
1,R_p_low,7.141040877010767e-5,low,R_p,Q[N]
1,Q_n_low,0.005999412255437598,low,Q_n,Q[N]
1,Q_p_low,0.0011961414235698205,low,Q_p,Q[N]
1,H_low,0.011407799160875705,low,H,Q[N]
1,V_b_low,0,low,PAV_conc,Q[N]
1,V_c_low,0,low,RPV_conc,Q[N]
1,R_n_n,5.874466590057969e-4,+N,R_n,Q[N]
1,R_p_n,7.141038623279069e-5,+N,R_p,Q[N]
1,Q_n_n,0.006003615809534963,+N,Q_n,Q[N]
1,Q_p_n,0.0011961341200712227,+N,Q_p,Q[N]
1,H_n,0.01140788735951567,+N,H,Q[N]
1,V_b_n,0,+N,PAV_conc,Q[N]
1,V_c_n,0,+N,RPV_conc,Q[N]
1,R_n_p,5.326614202505156e-4,+P,R_n,Q[N]
1,R_p_p,7.929299072788446e-5,+P,R_p,Q[N]
1,Q_n_p,0.005999412255437598,+P,Q_n,Q[N]
1,Q_p_p,0.001208304943108516,+P,Q_p,Q[N]
1,H_p,0.011407799160875705,+P,H,Q[N]
1,V_b_p,0,+P,PAV_conc,Q[N]
1,V_c_p,0,+P,RPV_conc,Q[N]
1,R_n_np,5.874466590057969e-4,+N+P,R_n,Q[N]
1,R_p_np,7.929296763777294e-5,+N+P,R_p,Q[N]
1,Q_n_np,0.006003615809534963,+N+P,Q_n,Q[N]
1,Q_p_np,0.001208297592243179,+N+P,Q_p,Q[N]
1,H_np,0.01140788735951567,+N+P,H,Q[N]
1,V_b_np,0,+N+P,PAV_conc,Q[N]
1,V_c_np,0,+N+P,RPV_conc,Q[N]
1,VbH_low,0,low,PAV_pop,Q[N]
1,VbH_n,0,+N,PAV_pop,Q[N]
1,VbH_p,0,+P,PAV_pop,Q[N]
1,VbH_np,0,+N+P,PAV_pop,Q[N]
1,VcH_low,0,low,RPV_pop,Q[N]
1,VcH_n,0,+N,RPV_pop,Q[N]
1,VcH_p,0,+P,RPV_pop,Q[N]
1,VcH_np,0,+N+P,RPV_pop,Q[N]
