well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
E11,RPV 1e7,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E11,RPV 1e7,RPV,TEST,VIC,NFQ-MGB,23.27051544,23.27537346,0.009116388,11116800,11081828,65674.76563,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
E12,RPV 1e7,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E12,RPV 1e7,RPV,TEST,VIC,NFQ-MGB,23.28588867,23.27537346,0.009116388,11006067,11081828,65674.76563,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
F1,NTC,PAV,NTC,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,N,N,N,1
F1,NTC,RPV,NTC,VIC,NFQ-MGB,41.11579895,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,39,NA,N,N,N,N,1
F2,NTC,PAV,NTC,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,N,N,N,1
F2,NTC,RPV,NTC,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,N,N,N,1
F3,NTC,PAV,NTC,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,N,N,N,1
F3,NTC,RPV,NTC,VIC,NFQ-MGB,40.87366867,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,38,NA,N,N,N,N,1
